"NO","Code","Prev","Open","High","Low","Last","Change","Change(%)","Change(%)","Freq","Volume","Value(T)"
"121","SMAR","4,380","4,380","4,390","4,370","4,390","Rise","10","0.22","40","111","48,610"
"122","SAPX","915","975","1,140","925","925","Rise","10","1.09","105","238","24,080"
"123","LMSH","645","645","655","645","655","Rise","10","1.55","4","5","324"
"124","UCID","1,240","1,240","1,255","1,240","1,250","Rise","10","0.80","143","9,533","1,191,017"
"125","RIGS","625","625","670","620","635","Rise","10","1.60","965","24,214","1,570,485"
"126","BJBR","1,325","1,325","1,335","1,320","1,335","Rise","10","0.75","780","21,954","2,914,447"
"127","PUDP","350","368","368","360","360","Rise","10","2.85","6","23","829"
"128","KKGI","565","565","580","550","575","Rise","10","1.76","738","44,462","2,505,134"
"129","PZZA","520","520","535","520","530","Rise","10","1.92","2,101","37,400","1,974,143"
"130","BHAT","995","995","1,005","995","1,005","Rise","10","1.00","146","16,427","1,643,435"
"131","MTMH","2,680","2,680","2,710","2,680","2,690","Rise","10","0.37","368","76,434","20,595,349"
"132","ALDO","825","830","850","825","835","Rise","10","1.21","255","6,205","521,216"
"133","POLU","515","520","565","515","525","Rise","10","1.94","18","66","3,603"
"134","POLI","795","820","820","795","805","Rise","10","1.25","404","14,393","1,162,557"
"135","BDMN","2,510","2,520","2,540","2,490","2,520","Rise","10","0.39","456","10,935","2,752,513"
"136","APIC","1,050","1,050","1,075","1,050","1,060","Rise","10","0.95","696","81,510","8,688,293"
"137","BBHI","3,520","3,520","3,630","3,520","3,530","Rise","10","0.28","1,422","16,735","5,975,071"
"138","COCO","182","182","192","179","191","Rise","9","4.94","656","9,960","186,826"
"139","CENT","168","169","178","166","177","Rise","9","5.35","840","65,667","1,140,941"
"140","NICK","440","448","454","422","448","Rise","8","1.81","140","1,019","44,517"
"141","GOTO","300","300","310","300","308","Rise","8","2.66","12,330","9,011,874","275,172,833"
"142","PSKT","56","56","70","56","64","Rise","8","14.28","9,320","2,726,602","17,420,148"
"143","MRAT","242","244","262","240","250","Rise","8","3.30","2,037","70,594","1,795,954"
"144","WOMF","242","242","250","240","250","Rise","8","3.30","137","5,958","148,371"
"145","TRIM","262","264","286","260","270","Rise","8","3.05","3,029","323,372","8,901,662"
"146","BACA-W2","97","101","105","101","105","Rise","8","8.24","2","5","51"
"147","OBMD","147","147","166","147","155","Rise","8","5.44","2,265","129,686","2,035,465"
"148","AGAR","294","286","302","286","302","Rise","8","2.72","14","41","1,213"
"149","KBLV","210","212","218","210","218","Rise","8","3.80","243","13,339","284,946"
"150","DOID","368","370","384","364","376","Rise","8","2.17","4,926","608,319","22,942,067"
"151","INPP","390","398","398","398","398","Rise","8","2.05","2","2","79"
"152","PICO","125","126","144","124","132","Rise","7","5.60","3,797","171,688","2,354,265"
"153","GZCO","153","153","161","153","160","Rise","7","4.57","11,306","1,445,104","22,829,170"
"154","BCAP","117","118","125","117","124","Rise","7","5.98","5,988","1,420,990","17,337,861"
"155","SMKM","137","140","148","129","144","Rise","7","5.10","2,880","135,440","1,895,783"
"156","INDX","248","248","256","248","254","Rise","6","2.41","1,083","39,474","999,026"
"157","IPCM","282","284","292","282","288","Rise","6","2.12","334","11,680","335,214"
"158","ISSP","272","272","278","270","278","Rise","6","2.20","681","39,174","1,077,576"
"159","XKMS","1,139","1,133","1,145","1,133","1,145","Rise","6","0.52","37","5,805","658,640"
"160","KBLI","310","310","316","308","316","Rise","6","1.93","88","4,111","127,567"
"161","MPPA","204","206","218","200","210","Rise","6","2.94","4,334","650,513","13,670,487"
"162","APEX","316","318","324","316","322","Rise","6","1.89","107","1,695","54,159"
"163","JKON","85","86","92","85","91","Rise","6","7.05","3,923","689,124","6,187,260"
"164","SOTS","278","278","298","270","284","Rise","6","2.15","9","30","840"
"165","SKBM","356","356","362","346","362","Rise","6","1.68","57","332","11,910"
"166","DKFT","122","122","129","122","128","Rise","6","4.91","1,255","156,376","1,976,918"
"167","WIIM","456","456","464","456","462","Rise","6","1.31","409","13,414","618,434"
"168","PGLI","214","214","230","206","220","Rise","6","2.80","13","244","5,380"
"169","SFAN","1,545","1,545","1,555","1,545","1,550","Rise","5","0.32","155","5,778","895,236"
"170","PBID","1,670","1,670","1,680","1,650","1,675","Rise","5","0.29","95","3,021","504,117"
"171","ANJT","825","825","835","815","830","Rise","5","0.60","278","9,547","785,904"
"172","MGRO","905","905","930","895","910","Rise","5","0.55","989","102,471","9,343,391"
"173","CSRA","670","670","680","655","675","Rise","5","0.74","183","2,695","180,171"
"174","MTEL","725","725","730","720","730","Rise","5","0.68","1,144","149,162","10,838,396"
"175","RALS","575","580","590","570","580","Rise","5","0.86","653","52,207","3,033,622"
"176","AUTO","1,145","1,145","1,155","1,140","1,150","Rise","5","0.43","421","5,433","623,686"
"177","MDLN","92","92","97","91","97","Rise","5","5.43","2,464","513,977","4,874,974"
"178","ERAA","500","500","505","496","505","Rise","5","1.00","2,076","238,450","11,892,974"
"179","MAYA","575","580","590","570","580","Rise","5","0.86","87","2,286","132,159"
"180","TAPG","650","650","660","635","655","Rise","5","0.76","1,815","266,511","17,294,813"
"181","MNCN","935","935","955","925","940","Rise","5","0.53","1,711","195,533","18,403,446"
"182","LPCK","1,105","1,105","1,125","1,105","1,110","Rise","5","0.45","40","771","85,722"
"183","MAPI","915","920","935","900","920","Rise","5","0.54","2,014","113,451","10,436,308"
"184","GOOD","540","540","555","530","545","Rise","5","0.92","793","75,551","4,095,223"
"185","GGRP","565","565","580","565","570","Rise","5","0.88","65","511","29,255"
"186","BNGA","1,000","1,000","1,005","995","1,005","Rise","5","0.50","516","20,746","2,077,502"
"187","SBMA","143","144","149","142","148","Rise","5","3.49","592","41,074","603,793"
"188","XSSI","75","75","80","75","80","Rise","5","6.66","24","970","7,726"
"189","HMSP","970","980","980","965","975","Rise","5","0.51","1,935","136,960","13,335,629"
"190","CLPI","1,120","1,120","1,130","1,120","1,125","Rise","5","0.44","183","3,067","344,585"
"191","IPCC","560","560","570","555","565","Rise","5","0.89","147","2,579","145,369"
"192","MLPL","161","162","169","159","166","Rise","5","3.10","2,922","455,077","7,525,031"
"193","MLIA","600","600","625","600","605","Rise","5","0.83","1,241","207,664","12,677,380"
"194","PNSE","510","555","555","476","515","Rise","5","0.98","5","5","257"
"195","CLAY","670","670","705","670","675","Rise","5","0.74","11","13","903"
"196","INRU","570","565","575","565","575","Rise","5","0.87","5","6","342"
"197","DMND","825","825","830","800","830","Rise","5","0.60","20","327","27,044"
"198","BOGA","1,330","1,330","1,350","1,325","1,335","Rise","5","0.37","2,373","1,364,066","182,692,699"
"199","BPTR","181","181","188","181","186","Rise","5","2.76","125","2,906","53,716"
"200","OKAS","65","65","69","65","69","Rise","4","6.15","709","71,398","487,176"
